QUERY_ID | SF | total_counter | query_elapsed_time
1-short | 1000 | 458876104767 | 7.61903
2 | 1000 | 1131005859 | 9.51278
3 | 1000 | 3419893350 | 27.6302
4 | 1000 | 29482236967 | 8.11417
5 | 1000 | 13926806916 | 15.9999
6 | 1000 | 3508436235050 | 43.3258
7 | 1000 | 42445164146 | 47.5492
8 | 1000 | 6956920879 | 12.2279
9 | 1000 | 3366407811934 | 223.955
